Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
[Introduction of innovative high-risk medical devices in Europe: are clinical efficacy and safety guaranteed?].,2013,"This source frames high-risk medical devices (examples: heart valves, hip prostheses) as technologies introduced to markets for therapeutic/implant purposes and highlights their availability timeline in Europe vs USA. It states that innovative high-risk devices reach European markets more rapidly [113] and that Europe (at time of writing) did not require demonstration of clinical efficacy in the premarket phase [113].",Not mentioned in source.,"The source discusses clinical evaluation and patient-safety implications: it notes lower European premarket clinical study requirements compared with drugs and scarce/unpublished premarket trial data [113]. It recommends limiting introduction of high-risk devices with minimal clinical data to experienced physicians to reduce patient risk [113], and advocates that new legislation require premarket demonstration of clinical efficacy and safety, ideally via randomized controlled trials and centralized transparent review [113].","The paper addresses regulatory frameworks: it contrasts EU and US premarket requirements, stating EU lacked a requirement to demonstrate clinical efficacy for high-risk devices in the premarket phase [113]; it notes the European Medical Device Directives were being reworked at the time [113]; and it recommends that new EU legislation mandate premarket demonstration of efficacy and safety with transparent, preferably centralized, review processes [113]."
Evidencing the effectiveness of upper limb prostheses: a multi-stakeholder perspective on study requirements,2023,"The paper frames upper limb prostheses as devices to restore hand function using control signals from muscles, distinguishing 'standard myoelectric' (simple open/close pinch) and newer 'multi-grip myoelectric hands' intended to provide more advanced grasp patterns; it situates prostheses within clinical provision and commissioning processes and emphasises their role in enabling functional performance and lived experience outcomes [114].","The source discusses myoelectric prostheses, distinguishing standard (single-grip/open–close) and multi-grip myoelectric hands; it does not explicitly describe passive/cosmetic, body-powered, or hybrid devices, focusing instead on myoelectric classifications and recent multi-grip developments [114].","The source emphasises clinical considerations for prosthetic prescription: the need to evaluate clinical effectiveness, safety, cost effectiveness and patient subgroups; shortcomings of existing outcome measures and a call for mixed-methods, goal-based, and longitudinal assessments; importance of training, patient involvement, socket comfort, and tailored rehabilitation pathways to reduce abandonment and improve lived experience [114].","The source situates prostheses within medical device regulatory contexts: notes CE/UKCA/CE UKNI marking requirements, classifies prosthetic hands as Class 1 devices in the UK, highlights regulatory barriers (long CE timescales), concerns about limited pre-market evidence of functionality, and liability shifting to clinical services when devices are modified [114]."
Clinical evaluation of the revolutionizing prosthetics modular prosthetic limb system for upper extremity amputees,2021,"Defines upper limb prosthesis purpose as restoring functionality, kinematics, strength, utility, dexterity, and intuitive movement of the human arm and hand for individuals with upper extremity limb loss [58].","Distinguishes main typologies: myoelectric (active) versus conventional body-powered devices, noting poly-articulated myoelectric hands (e.g. Michelangelo, i-Limb, Bebionic) that provide multiple DOF but have limitations in grip strength and dexterity [58]. Describes control paradigms: direct (amplitude-based on/off) versus pattern recognition, with pattern recognition allowing simultaneous independent multi-DOF control and more intuitive switching between grasps [58]. Presents MPL as an advanced myoelectric/poly-articulated system with 26 movement classes and integrated reduced order control to simplify multi-joint motions [58].","Reports clinical considerations: evaluation focused on performance, feasibility, acceptance, and training for ADLs using standardized functional tests (BB, JHFT, ACMC) and TAC assessments, with a 12-session training protocol including virtual and physical phases [58]. Findings: participants increased controllable motion classes and improved TAC and ACMC scores over time, but BB and JHFT improvements were not statistically significant; subjective issues included device weight impacting comfort and need for longer training for optimal use [58].",Not mentioned in source.
A User-Driven Approach to Prosthetic Upper Limb Development in Korea,2021,"The source defines prosthetic hands as assistive devices that compensate for hand function and enable limited activities for upper limb amputees, thereby improving quality of life [115].","The source describes typologies including cosmetic (passive) prostheses, body-powered prostheses, and electric/myoelectric prostheses, and provides usage prevalence data showing high use of cosmetic prostheses and low use of electronic/myoelectric devices [115].","The source reports clinical and functional considerations for prescription and use: discontinuation reasons include discomfort, weight, difficult donning/doffing, poor design and function; important factors influencing use are convenience, function, appearance, and level of amputation; rehabilitation training is infrequent (70.9% never received training); and common unmet functional needs include buttoning, tying knots, and using chopsticks [115].","The source briefly frames prostheses within medical device/regulatory context, noting that some assistive technologies are classified as medical devices covered by the Medical Devices Directive and that this classification increases regulatory burden, cost, and time to market [115]."
The use of myoelectric prosthesis in a sample of veterans with unilateral upper extremity amputation: prosthesis satisfaction and quality of life,2022,Not mentioned in source.,Not mentioned in source.,"This study reports on 30 myoelectric prosthesis users and records demographic and clinical information, assessing psychosocial adjustment, activity restriction, prosthesis satisfaction (using TAPES-R) and quality of life (using SF-36) [116]. It finds higher activity restriction scores for transhumeral/elbow disarticulation and concomitant lower-limb amputation [116], a moderate positive correlation between psychosocial adjustment and daily prosthesis wearing time [116], and a negative correlation between age at injury and SF-36 role limitation due to physical problems [116]. The authors recommend clarifying factors related to psychosocial adjustment, activity restriction, prosthesis satisfaction and quality of life and developing interventions to support patients [116].",Not mentioned in source.
Validation of the Comprehensive Arm Prosthesis and Rehabilitation Outcomes Questionnaire,2021,"This source defines upper limb prosthesis contextually by introducing the CAPROQ as a patient-reported outcome measure developed for adults with upper limb loss (ULL) to assess prosthetic rehabilitation outcomes, specifically satisfaction, perceived function, and pain [117].","The source lists prosthesis types included in the study sample—passive, body-powered, electric (myoelectric), hybrid, and activity-specific—and acknowledges typologies in the prosthetic literature without providing detailed classification or technical descriptions [117].","The source emphasizes clinical considerations for prosthetic prescription and rehabilitation by identifying satisfaction, perceived function, and pain as key outcome domains, highlighting the roles of device selection, fit, and training in reducing abandonment, and positioning the CAPROQ as a tool to guide patient care, component selection, and evaluation of rehabilitation stages (initial vs definitive) [117].","The source notes that CAPROQ development followed FDA guidance for patient-reported outcome measures, indicating consideration of regulatory best-practices for outcome measure development; it does not address medical device regulatory classification, safety testing, or clinical validation of prosthetic devices themselves [117]."
Upper-Limb Prosthetic Maintenance Data: A Retrospective Analysis Study,2021,"This study frames upper-limb (UL) prostheses in terms of clinical provision and device lifecycle, focusing on maintenance, repair patterns, and demographics of users [118]. It highlights that prostheses' purpose includes restoring function within rehabilitation but that durability and reliability importantly affect their lifecycle and cost [118], and that prescription decisions combine patient preferences, clinician experience, evidence on components, manufacturer claims, and reimbursement considerations [118].","The source uses a threefold typology of UL prostheses: passive, body-powered (BP), and externally powered (EP) devices (EP corresponds to powered/myoelectric types) [118]. It reports distribution in their clinic (72% passive, 20% BP, 8% EP) [118], notes that children are commonly fitted with passive or BP devices for durability and cost reasons [118], and finds BP devices have higher repair rates than passive or EP/myoelectric devices [118].","The source addresses clinical considerations: timing of fitting is critical (shorter interval from referral/ amputation increases continued use) [118]; device selection for children emphasizes passive/BP options because of durability, affordability, and growth considerations [118]; maintenance/repair practices and routine preventive care are essential to function and reliability [118]; and clinic attendance and self-reported usage are discussed as outcome measures for prosthetic fitting and 'active user' classification [118].",Not mentioned in source.
FACTOR ANALYSIS OF UPPER LIMB PROSTHETIC ACCEPTANCE FROM RETROSPECTIVE PROSTHETIC CLINICIAN SURVEY,2018,"This clinician-survey abstract frames upper limb prostheses primarily in terms of their functional role and user acceptability, emphasizing that prostheses are intended to provide function and comfort and that rejection is driven by deficits in function, comfort, ease of use, weight, heat, sensory feedback, and related factors [88].","The source reports clinician-recalled distribution of control types among retrospective fittings, listing body-powered (body power), externally powered (myoelectric/externally powered), passive, and hybrid controls and their case counts, indicating recognition of these typologies in clinical practice [88].","The source addresses clinical considerations and prescription indirectly by analyzing factors clinicians recall as influencing acceptance: prosthetic level, control type, gadget tolerance, functional expectations, comfort, cosmesis, therapist experience, wear time, and availability of therapy [88]. It reports statistical associations between acceptance and patient experience, gadget tolerance, functional expectation, comfort tolerance, prosthetist confidence, and cosmetic description, and notes limitations of clinician-reported data and a need for direct patient research [88].",Not mentioned in source.
Prosthetics: Upper Limb,2019,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Improving the Quality of Evidence on Upper-Limb Prostheses Through the Standardization of Outcome Measurement,2017,Not mentioned in source.,Not mentioned in source.,"The source emphasizes methodological issues in clinical research on upper-limb prostheses, noting heterogeneity of outcome measures which hinders systematic reviews and comparisons across studies. It advocates adopting a standardized brief core set of validated outcome measures to be used in routine clinical encounters and research, arguing this will produce data enabling comparison of outcomes across prosthesis types and strengthen evidence for clinical and policy decisions [119].",Not mentioned in source.
"Clinical development and use of AHA-PAD (Assisting Hand Assessment- Prosthetics, Amputations, Deficiencies)",2015,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Literature Review of Children's Use of and Satisfaction with Upper Limb Prostheses,2017,Not mentioned in source.,"The source discusses prosthesis types: it defines myoelectric prostheses and notes their aesthetic and functional features [24]. It reports usage distributions in one study where 44% used passive devices, 41% used body-powered prostheses, and 41% used multiple devices [24].","The source highlights clinical considerations: prostheses are used across activity domains but by a minority of children [24]; technical reliability and durability affect use, with preference for indoor use [24]. Evidence shows prosthesis use may not improve overall functional ability, as non-wearers can perform equally well [24]. The source recommends offering a range of prosthetic options and prescribing for task-specific needs rather than assuming general-purpose use [24].",Not mentioned in source.
Myoelectric Prosthetic Components for the Upper Limb Policy,2013,"This policy defines myoelectric upper limb prosthetic components as medically necessary options for patients with an amputation at the wrist or above when specific clinical criteria are met, and frames their purpose as restoring functional activities of daily living such as gripping, releasing, holding, and coordinating movement [63].","Specifies myoelectric devices in contrast to standard body-powered prosthetic devices, implying classification into at least body-powered and myoelectric types; does not discuss passive/cosmetic or hybrid categories [63].","Clinical criteria for prescribing myoelectric prosthetic components include sufficient residual musculature signal amplitude (microvolt threshold), adequate neurological and cognitive function, absence of interfering comorbidities, and a functional evaluation predicting benefit with training; evaluation should consider control, durability, function (speed, work capability), and usability [63].",Not mentioned in source.
"Exploring the Views of Children, Parents and Clinicians to Contribute Towards the Development of Upper Limb Prostheses",2013,Not mentioned in source.,Not mentioned in source.,"The source reports high prosthesis rejection among children, citing a rejection rate up to 50% [120]; it notes that children may select different prostheses for different tasks [120]; and it emphasizes the importance of including end-users and clinicians in device development because social and cultural context affects device effectiveness [120].",Not mentioned in source.
Regulatory classification of biomaterials and medical devices,2005,"The chapter frames medical devices (including biomaterials) in terms of regulatory oversight and classification, describing the regulatory situation in the USA and EU and the role of regulatory systems in device development [121].","The source describes device classification by risk (FDA classes I–III) rather than prosthesis-specific typologies; it does not discuss prosthesis categories such as passive, body-powered, myoelectric, or hybrid. The FDA risk classes are outlined [121].",Not mentioned in source.,"The chapter summarizes regulatory frameworks: FDA provides guidance and approval in the USA, and in Europe devices must obtain a CE mark by satisfying ISO standards of manufacturing and record keeping [121][121]."
A Biomedical Engineering Approach to Select an Appropriate Upper Limb Prosthesis,2011,Not mentioned in source.,Not mentioned in this source.,Not mentioned in source.,Not mentioned in this source.
Cross-sectional International Multicenter Study on Quality of Life and Reasons for Abandonment of Upper Limb Prostheses,2019,Not mentioned in source.,Not mentioned in source.,"This multicenter study reports clinical/functional findings relevant to prosthetic prescription and outcomes: it provides rates of prosthesis rejection (9%) and identifies lack of functionality as the most common reason for abandonment [19]. It reports quality-of-life outcomes showing higher EQ-5D utility scores among prosthesis users compared with nonusers [19], and notes an association between prosthesis use and employment status [19].",Not mentioned in source.
Comfort and function remain key factors in upper limb prosthetic abandonment: findings of a scoping review,2020,Not mentioned in source.,"The review reports that included studies covered passive, body-powered, and myoelectric prosthetic devices [122].","The review identifies comfort and function as primary clinical factors related to prosthesis abandonment [122]. Specific comfort issues include weight, temperature, and perspiration [122]. Functional issues focus on control and lack of sensory feedback, sometimes leading users to feel more functional without the device [122]. The authors recommend clinicians and therapists use these findings to mitigate abandonment and guide device development [122].",Not mentioned in source.
Upper limb prosthesis use and abandonment: A survey of the last 25 years,2007,"This review frames upper limb prostheses as products that serve both functional and cosmetic purposes and as extensions of the body requiring close designer–user partnership [123]. It explicitly distinguishes primary prosthetic purposes into passive (usually cosmetic) and active systems (body-powered and externally powered electric/myoelectric) [123]. The authors state the overarching purpose of prosthetic intervention is to maximize quality of life for individuals with upper limb deficiency, which may be achieved via active prostheses, passive prostheses, or no prosthesis depending on user needs [123].","The source classifies prostheses into passive (usually cosmetic) and active devices, with active subdivided into body-powered and externally powered electric/myoelectric systems [123]. It describes variation within passive devices (stationary, position-locking, spring-loaded fingertip response) [123]. It also notes challenges comparing wear patterns between device classes due to prescription biases [123].","The review synthesizes clinical evidence on prosthesis prescription and outcomes, reporting higher mean rejection in pediatric vs adult populations (body-powered: pediatric 45% vs adult 26%; myoelectric: pediatric 35% vs adult 23%) and noting overall ~20% non-use prevalence [123]. It attributes wide variance in reported outcomes to heterogeneous samples and methods [123]. Common clinical concerns affecting prescription and continued use include comfort (harness discomfort, weight, wear temperature), durability (wire/motor failures), maintenance and appearance [123]. The review highlights difficulty performing activities of daily living with prostheses and recommends standardized outcome measures and multifactor studies to inform evidence-based prescription [123].",Not mentioned in source.
"The roles of predisposing characteristics, established need, and enabling resources on upper extremity prosthesis use and abandonment",2007,"This review frames upper limb prostheses as devices intended to enable participation in life activities and achievement of personal goals, and centers the discussion on factors affecting prosthesis use and abandonment, including functional role and psychosocial aspects [5].","The source distinguishes prosthesis categories by function and common technologies, reporting rejection rates for passive (cosmetic), body-powered, and electric (myoelectric) devices and noting that device selection often depends on lifestyle and environmental demands; it excludes experimental prostheses from its review [5].","The source addresses clinical considerations extensively: it highlights prescription, fitting, training, follow-up, and the importance of multidisciplinary rehabilitation centers; discusses timing of fitting (recommendations range from 12 weeks to 6 months) and age effects; notes variability and controversy in training efficacy and calls for standardized outcome measures and comprehensive follow-up to reduce abandonment [5].",Not mentioned in source.
"A scoping review on upper extremity prostheses: Satisfaction, barriers, and their implications in resource-limited countries",2024,Not mentioned in source.,Not mentioned in source.,"The review reports that clinical and functional considerations affecting prosthesis use include prosthesis characteristics—type, comfort, weight, functionality, price, and availability—and patient factors such as recency of prosthetic use, amputation level, congenital versus acquired limb loss, pain, and time elapsed between amputation and fitting [124]. The authors suggest that tailored prosthetic design and funding could improve adherence and outcomes [124].",Not mentioned in source.
Upper-Limb Prosthetics: Critical Factors in Device Abandonment,2007,"This source defines upper-limb prostheses broadly as devices ranging from cosmetic hands to body-powered hooks to externally powered (electric/myoelectric) devices intended to address varying needs and desires of individuals with upper-limb absence, emphasizing their purpose in restoring function, appearance, and meeting patient-specific goals [111].","The source classifies prostheses into cosmetic (passive), body-powered, and externally powered/electric (which includes myoelectric) devices, and notes terminal devices as hands or hooks. It does not explicitly discuss hybrid classifications beyond these categories [111].","The source reports clinical considerations relevant to prescription and outcomes: level of limb absence, origin (congenital vs acquired), gender, and perceived need strongly influence prosthesis acceptance; clinical factors such as fitting time frame, involvement in device selection, satisfaction with fitting, follow-up, repair, training, and information provision affect use; functional outcomes relate to comfort, function, ease of control, reliability, and cost which drive abandonment; reported complications include residual limb pain, phantom pain, skin irritation, blisters, and upper-body pain [111].",Not mentioned in source.
Perceptions of cosmesis and function in adults with upper limb prostheses: a systematic literature review,2011,Not mentioned in source.,Not mentioned in this source.,"The review focuses on adult users' perceptions of cosmesis and function of upper limb prostheses, aiming to summarise satisfaction, priorities, and social implications [4]. It reports variable satisfaction with cosmetic prostheses and ambiguity in definitions of cosmesis and function across studies [4], notes a slight trend for users to prioritise function over cosmesis [4], and highlights social concerns about appearing 'normal' [4]. The authors call for further research into these constructs and their relation to prosthesis use [4].",Not mentioned in this source.
Outcome measures used in the evaluation of adult upper-limb prostheses - kinematic and functional aspects: A scoping review.,2025,Not mentioned in source.,"The source reports that the most cited prosthesis type in the included studies was electric/myoelectric [54]. It does not provide a broader typology classification or detailed descriptions of passive/cosmetic, body-powered, or hybrid prostheses beyond reporting the predominance of electric/myoelectric in the literature [54].","The source emphasizes clinical evaluation and outcome measurement: studies were primarily clinical and focused on functional assessments [54]. It identifies 101 assessment instruments used across studies, with 82 instruments assessing functionality and 19 assessing kinematic aspects [54]. The review highlights high abandonment rates linked to functional and kinematic limitations of UL prostheses [54], notes that kinematic evaluations are scarce [54], and calls for development of instruments tailored to prosthesis users [54].",Not mentioned in source.
The importance of rehabilitation concerning upper extremity amputees: A Systematic review,2016,"The article frames upper limb prostheses in terms of restoring function for activities of daily living, self-care, hobbies and sports, and emphasises the role of prosthetic training to integrate the prosthesis into daily life [1].",Not mentioned in source.,"The review summarises clinical considerations and prescription-related findings: prosthetic rehabilitation protocols commonly include exercise programmes, motor task training, phantom limb interventions, muscle training with visual feedback, edema control, signal strengthening, prosthetic education, neuromuscular re-education, and virtual reality approaches [1]. Evidence is limited (only 9 studies, mostly low-quality nonrandomised designs) but suggests rehabilitation improves independence and function and can alleviate phantom limb pain (RCT evidence cited) [1]. The review also notes training elements for osseointegration, staged strengthening after surgery, and protocols to train control of myoelectric prostheses [1].",Not mentioned in source.
Advancements of Upper Limb Prostheses can Improve Patient Quality of Life: A Technology Review,2023,"Defines upper limb prostheses as external, battery-powered devices that substitute missing arms or hands [15]. The review frames their purpose not only as substituting lost anatomy but to restore/augment function by improving locomotion and creating interfaces between the user (CNS/PNS) and the artificial limb to allow more natural control of tasks [15].","Identifies and discusses key typologies: myoelectric prostheses are described in detail as electrically powered devices using EMG signals for control [15]. Body-powered prostheses (traditional, cable/suspension and socket-based) are contrasted with myoelectric devices and discussed regarding embodiment and satisfaction [15]. The review also references cosmetic/passive aspects when noting psychosocial and cosmetic appearance benefits of myoelectric systems implicitly versus traditional devices [15]. Hybrid approaches and sensors (capacitive biopotential, flexible insulated sensors) that enhance control are described, indicating hybrid/advanced sensor integration though not named as a formal separate category (discussion of sensor technologies supports hybridization) [15].","Summarizes clinical considerations: myoelectric prostheses can restore control/function, improve dexterity, grip and force, reduce task difficulty and encourage bilateral use, and may reduce phantom limb pain [15]. Clinical challenges include embodiment difficulties for myoelectric users, substantial rejection/abandonment rates (26% body-powered, 23% myoelectric) [15], sensor-related issues (sweat sensitivity, skin irritation, slip/misalignment) and need for training and comfort improvements [15]. The review notes lack of large-scale patient assessment and limited accessibility/cost barriers affecting prescription and uptake [15].",Not mentioned in source.
Understanding Prosthetic Abandonment,2019,Not mentioned in source.,Not mentioned in source.,"The review focuses on reasons for abandonment of myoelectric prostheses and discusses user experience factors such as lack of simplicity, failure to achieve a natural fluent experience, and daily activity limitations contributing to decreased use or permanent rejection of myoelectric prostheses ",Not mentioned in source.
Upper Limb Prostheses by the Level of Amputation: A Systematic Review,2024,"Defines prostheses as assistive products that help maintain or improve functioning and independence [3]. Classifies upper limb prostheses functionally into active and passive categories, where active prostheses replace muscular mechanical function via force transmission [3] and passive prostheses respond to external forces without active actuation [3].","Describes typologies including passive (cosmetic/postural, spring-based) and active prostheses (requiring energy source, force transmission, gripping device) [3]. Notes hybrid systems combining control modalities (e.g., EMG-EEG) [3], and highlights that surface EMG is the predominant control method for electronic prostheses [3].","States that prosthetic prescription and fit depend on stump condition, cause of amputation, intended use, and patient anthropometry [3]. Emphasizes clinical goals of intuitive, sensory-rich function and the importance of sensory feedback (pressure and position) for usability and frequency of use [3]. Highlights need for customization for final adaptation [3].","Discusses Technology Readiness Levels (TRL) as a proxy for market readiness and notes a lack of devices at TRL 8, indicating a bottleneck in commercialization and large-scale validation [3]. Observes limited reporting of regulatory certifications or approvals for many devices, especially non-established commercial products [3]."
"Prosthetic Outcome Measures for Use With Upper Limb Amputees: A Systematic Review of the Peer-Reviewed Literature, 1970 to 2009",2009,"This systematic review frames upper limb prostheses within the context of outcome measurement and rehabilitation, stating its goal to review state of outcome measurement in upper limb prosthetics and guide future research [71]. It defines measures of UL functional abilities as those assessing the upper limb as an integrated unit across activities, reflecting the purpose of prostheses to restore integrated UL function rather than isolated hand actions [71].","The source discusses prosthesis-related measurement tools tied to device types: it explicitly references myoelectric prostheses (ACMC) and terminal devices evaluated by SHAP, indicating awareness of device typologies such as myoelectric and terminal (prehensile) devices. However, it does not provide a systematic classification of prostheses into the categories passive/cosmetic, body-powered, myoelectric, or hybrid; instead the focus is on measures that often are specific to myoelectric devices or to prosthetic hand function generally [71].","The source emphasizes clinical considerations for prosthetic prescription and evaluation: scarcity of standardized outcome measures for adults and more development in pediatrics [71]; certain measures (ACMC, UNB Test, PUFI, SHAP, TAPES, DASH) are discussed regarding applicability, reliability, training needs, and limitations—e.g., ACMC promising but limited to myoelectric users and requiring expert training [71]. It highlights need to select measures across ICF domains (hand function, UL abilities, participation, QOL) and cautions that gains in impairment-level measures may not predict participation/QOL changes [71].",Not mentioned in source.
Literature Review on Needs of Upper Limb Prosthesis Users,2016,Upper limb prostheses are devices used to substitute a missing hand or limb and are intended to restore function and/or appearance. They are classified into passive (cosmetic and functional) and active prostheses (body-powered and externally powered) [8]. Cosmetic prostheses prioritize aesthetic substitution while functional prostheses facilitate specific activities such as work or sport [8]. Prostheses aim to re-establish interaction between user and environment by addressing the interruption of efferent and afferent pathways caused by limb loss [8].,"The source describes typologies as: passive prostheses (cosmetic and functional) and active prostheses including body-powered and externally powered systems [8]. Externally powered prostheses include myoelectric devices controlled via EMG and other electric controls (e.g., buttons) [8]. Control strategies include classical on/off and proportional myoelectric control and more advanced pattern-recognition approaches enabling simultaneous multi-DoF control [8].","Clinical considerations emphasized include: the importance of restoring both motor control and sensory feedback disrupted by amputation [8]; user-centered goals such as increasing satisfaction and reducing abandonment inform design and prescription priorities [8]. Functional outcome priorities reported across studies include ADLs (e.g., cutlery use, personal hygiene, dressing) and desire for force feedback, dexterity, wrist motion and reduced visual attention during tasks [8]. The review highlights large interindividual variability, supporting individualized prescription of prosthesis type, socket, control and training [8]. Common clinical issues are low satisfaction regarding comfort, appearance and function, notably in cosmetic and body-powered devices [8].",Not mentioned in source.
Longitudinal study of prosthesis use in veterans with upper limb amputation.,2020,Not mentioned in source.,Not mentioned in this source.,"This longitudinal survey reports that prosthesis use frequency, intensity, and types were stable over one year, though 24% changed primary terminal device type at follow-up [125]. Lower baseline frequency/intensity of use predicted discontinuation, and lower use was seen among starters versus continuers [125]. Recipients of a different prosthesis type had higher rates of prosthetic training [125]. Satisfaction was higher for recipients of new prostheses and lower at baseline among those who later abandoned their prosthesis [125].",Not mentioned in source.
Current rates of prosthetic usage in upper-limb amputees 	6 have innovations had an impact on device acceptance?,2020,"The source frames upper limb prostheses in terms of their role in rehabilitation and device acceptance, noting high historical abandonment rates and stating the study's aim to gather data on prosthetic usage and effects of recent advancements [126].",The source reports user distribution between major prosthesis typologies in the cohort: predominantly myoelectric devices with very few body-powered users; it does not discuss passive/cosmetic or hybrid types [126].,"Reports clinical findings on prosthesis abandonment (44% rejection in this cohort), primary user complaints (comfort and weight), and recommends patient-tailored rehabilitation and shared decision-making to improve acceptance [126].",Not mentioned in source.
Quality of life in young people with limb loss: a systematic review,2023,"The source frames amputation and prosthetic use within the rehabilitation and quality-of-life context, defining amputation as surgery removing a non-viable limb and QoL as an individual's perception of well-being [127]. It explicitly identifies the ability to use a prosthesis and access to advanced prosthetic technology as important for improving mobility, independence and QoL [127].",Not mentioned in source.,"The source reports clinical considerations relevant to prosthetic prescription and rehabilitation: predictors of QoL include ability to use and type of prosthesis, level and cause of amputation, phantom pain, age and gender [127]. Evidence that increased daily prosthesis wear improves mobility is cited [127]. Advanced components (e.g., microprocessor prostheses, active vacuum) are associated with better ADL performance [127], and good socket fit improves function, pain and mental health [127]. Rehabilitation, motivation and physical fitness are emphasised as modifiable factors impacting prosthetic use and outcomes [127].",Not mentioned in source.
Prosthetic rehabilitation of the upper limb amputee,2011,"Defines the loss of an arm as a significant psychological and physical event for the patient [7]. States the ideal purpose of an upper limb prosthesis is to compensate for loss of fine coordinated hand movements, provide tactile sensation and proprioceptive feedback, and deliver an esthetic appearance [7]. Also frames a functional prosthesis as a composition of multiple elements (shoulder, elbow, wrist, terminal device) each offering prescription options to the rehabilitation team [7].","Describes cosmetic/passive prostheses as simple, lightweight devices prioritising appearance and passive functions (e.g., silicone distal replicas) [7]. Describes body-powered/cable-controlled devices including split-hook terminal devices and voluntary-opening cable-controlled hands that use proximal joint forces transmitted via harness and cables [7]. Describes electrically powered prostheses driven by motors and batteries and explains myoelectric control—using muscle electrical potentials detected by surface electrodes—to operate hand/wrist/elbow functions [7]. Notes hybrid systems combining body-powered and myoelectric or other switching methods are common [7].","Outlines a multistage rehabilitation pathway including presurgical planning, postsurgery healing, fitting/training and long-term follow-up [7]. Emphasises patient selection—deciding appropriateness of prosthetic rehabilitation—and the central importance of training in prosthesis use for successful outcomes [7]. Highlights need for ongoing maintenance and adjustments [7]. Lists determinants of outcome (personal factors such as age, amputation level, dominance, cause, time since amputation) and service factors; reports high prosthesis rejection rates (23–26% adults; 35–45% children) [7]. Recommends careful service provider selection and realistic counseling to manage expectations [7].",Not mentioned in source.
Function and quality of life of unilateral major upper limb amputees: Impact of prosthesis use and type.,2020,Not mentioned in source.,Not mentioned in source.,"Survey results show prosthesis use is associated with better function: non-users had more difficulty with 1-handed tasks compared with body-powered users [50]; cosmetic device users reported more task difficulty than body-powered or myoelectric users [50]. Non-users had worse upper-limb disability scores (QuickDASH) compared to body-powered users [50], and were more likely to need help with ADLs (odds ratio 1.84) compared with body-powered users [50]. The authors conclude non-use or cosmetic-only use correlates with greater disability and activity difficulty compared with body-powered and myoelectric device users [50].",Not mentioned in source.
Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review,2017,"This systematic review frames upper-limb prostheses (specifically myoelectric and body-powered) in terms of their role to provide control, function, feedback, and cosmesis, and to address user acceptance/rejection [35]. It emphasizes that prostheses are selected to meet individual patients' needs, preferences, experience, and functional requirements [35].","The source compares two main typologies: body-powered and myoelectric prostheses, noting they provide distinct functions and trade-offs. Body-powered devices offer better durability, shorter training time, lower maintenance and superior feedback but have control limitations [35]. Myoelectric devices offer improved cosmesis, reduced phantom-limb pain, and greater acceptance for light-intensity tasks [35]. The review highlights that many users must choose one system and that evidence does not strongly favor one over the other overall [35].","The review's clinical focus is on informing evidence-based prescription and training. It reports conflicting evidence on functional performance between device types and concludes that current evidence is insufficient to declare a general advantage for either system, recommending individualized prescription based on patient needs and training considerations [35].",Not mentioned in source.
Prosthesis rejection in individuals with limb amputation: a narrative review with respect to rehabilitation.,2021,Not mentioned in source.,Not mentioned in source.,"The review reports factors associated with prosthesis rejection, including gender differences where women more frequently report discomfort with body-powered devices and concerns about cosmetic appearance [128]; level of amputation influences rejection specifically for upper-limb amputees [128]; early fitting (before age two) and preschool age fitting are associated with lower abandonment rates compared to adults and school-age children [128]. The authors emphasise the importance of addressing psychological factors and providing psychosocial support within rehabilitation to improve acceptance and body representation outcomes [128].",Not mentioned in source.
User-relevant factors determining prosthesis choice in persons with major unilateral upper limb defects: A meta-synthesis of qualitative literature and focus group results,2020,"The study defines prosthesis choice and frames the purpose/role of upper limb prostheses: Prosthesis choice is the user's decision to wear a cosmetic/passive, body-powered, standard mono-grip myoelectric (SHP), multi-grip myoelectric hand prosthesis (MHP), a DEKA-arm, or to not wear a prosthesis [14]. The paper situates prostheses as interventions to address impacts of upper limb absence on life satisfaction and function following amputation or congenital defect [14].","The source enumerates and contrasts main prosthesis types: cosmetic/passive, body-powered, standard mono-grip myoelectric prostheses (SHP), multi-grip myoelectric hands (MHP), and the DEKA-arm [14]. It notes control differences (DEKA: foot controls; MHP: myoelectric control) and reports user-experienced trade-offs for MHPs (greater dexterity and life-like appearance vs. reduced robustness and control difficulties) [14].","The source addresses clinical and functional considerations extensively: high abandonment rates (~35%) motivate individualised matching of prosthesis to user needs [14]. It provides a six-theme framework (physical; activities and participation; mental; social; rehabilitation, costs and prosthetist services; prosthesis-related factors) covering functional needs, work/leisure suitability, embodiment, social reactions, training, maintenance, costs and robustness, and recommends shared decision-making using the overview to guide prescription [14]. Specific clinical notes include that some users select myoelectric devices for job-related functionality, that MHPs may require hospital-based training and more maintenance, and that durability/reliability affect prescription choices [14].",Not mentioned in source.
